placekey,poi_cbg,parent_placekey,location_name,brands,safegraph_brand_ids,store_id,top_category,sub_category,naics_code,open_hours,category_tags,latitude,longitude,street_address,city,region,postal_code,iso_country_code,opened_on,closed_on,tracking_closed_since,websites,phone_number,wkt_area_sq_meters
222-222@5wf-y6v-grk,160659503022,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.822045,-111.803957,700 Park St,Rexburg,ID,83440,US,null,null,2019-07,[],+12083566082,1941
222-222@5wf-zyt-rhq,160439703001,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.967664,-111.680578,145 E 1st N,St. Anthony,ID,83445,US,null,null,2019-07,"[""lds.org""]",+12086247540,1281
222-222@5wg-3jm-fpv,null,null,Rigby 11th LDS Church,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.641948,-111.94261,106 N 3800 E,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087450360,2399
222-222@5wg-3zg-xwk,160199713023,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.485614,-112.067226,1800 Stosich St,Idaho Falls,ID,83402,US,null,null,2019-07,"[""lds.org""]",+12085223421,575
222-222@5wg-42b-dd9,160199706012,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.498016,-111.987174,2349 Virlow St,Idaho Falls,ID,83401,US,null,null,2019-07,[],+12085520804,2084
222-222@5wg-42s-psq,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.511345,-112.042309,770 W Anderson St,Idaho Falls,ID,83402,US,null,null,2019-07,"[""lds.org""]",+12085292201,2618
222-222@5wg-42s-psq,160199712001,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.511345,-112.042309,770 W Anderson St,Idaho Falls,ID,83402,US,null,null,2019-07,"[""lds.org""]",+12085292201,2618
222-222@5wg-42s-t7q,160199712003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.499859,-112.041345,1000 Memorial Dr,Idaho Falls,ID,83402,US,null,null,2019-07,"[""mormon.org""]",+12085227669,3680
222-222@5wg-43z-mrk,160199714003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.461127,-112.026946,375 Castlerock Ln,Idaho Falls,ID,83404,US,null,null,2019-07,"[""lds.org""]",+12085220975,228
222-222@5wg-5f9-xwk,160519603004,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
