tract,median(estimatedMembers),avg(estimatedMembers),min(estimatedMembers),max(estimatedMembers),stddev_samp(estimatedMembers),count(estimatedMembers),team_name
000100,260.47113992669836,411.90871468226845,15.015079426895554,2192.656573291568,474.9399599947735,39,Marquet
000101,801.3687946822783,632.1584579752734,9.425043794309047,1241.642865031498,450.88711854007596,9,Marquet
000102,268.8739262329275,344.27924005754346,127.5575495557855,1011.2019750400239,257.0703635247495,10,Marquet
000105,185.98335288048378,185.98335288048378,185.98335288048378,185.98335288048378,null,1,Marquet
000113,119.94700242374607,119.94700242374607,119.94700242374607,119.94700242374607,0,2,Marquet
000132,89.74461123487566,89.74461123487566,89.74461123487566,89.74461123487566,null,1,Marquet
000200,488.1366757733973,1911.428240969746,1.6039915333236667,5947.719073884627,2100.850664501673,58,Marquet
000201,232.50177013322246,230.5668063197096,25.52681237292137,593.4086654253143,150.92172226916497,17,Marquet
000202,325.5075951815573,496.05480408689044,100.68337845950784,1608.2950773956077,442.45485105264936,26,Marquet
000203,252.9777807422294,275.19792588667343,189.4257908225365,460.25848617821583,87.0632678531453,7,Marquet
000204,127.5575495557855,158.70811527529793,127.5575495557855,283.31037815334764,69.65478248640444,5,Marquet
000205,267.0365887726027,277.20586471796213,254.63677300636928,305.2858081648261,20.76376749936633,5,Marquet
000206,367.8711566233928,367.8711566233928,243.3244191625934,492.4178940841922,176.13568526638372,2,Marquet
000207,8.458720802153374,8.458720802153374,8.458720802153374,8.458720802153374,null,1,Marquet
000208,127.5575495557855,127.5575495557855,127.5575495557855,127.5575495557855,null,1,Marquet
000211,313.43925385457266,313.43925385457266,313.43925385457266,313.43925385457266,null,1,Marquet
000215,145.1371980107722,145.1371980107722,145.1371980107722,145.1371980107722,null,1,Marquet
000300,345.8356788049541,1603.5834438772035,7.5448533024046895,6810.436555698474,2319.0680617240464,49,Marquet
000301,89.74461123487566,119.77099380546105,89.74461123487566,308.07813735029424,76.2478783597853,8,Marquet
000302,510.8584523089753,608.6963035379063,14.586749927383634,1532.831832343677,418.6335795728558,22,Marquet
000303,302.1551067019751,326.28522701771465,88.06920296994412,581.7191472751166,186.9340928103975,5,Marquet
000304,624.6503459916438,685.5052896138518,106.35255099339713,1710.214944738453,457.8457731395737,11,Marquet
000400,346.4280241893706,1778.8450051287848,2.0049894166545834,9802.764136040887,2962.4884768187094,54,Marquet
000401,534.2034661442409,525.2000834826725,70.6640408174611,1337.7954906563627,395.87482663908156,19,Marquet
000402,534.2034661442409,645.5115035224547,68.56776279734412,1995.1570174605104,534.9860716970155,17,Marquet
000403,373.28348723375956,407.0622033992475,181.49028381238534,968.5496480678944,231.85910874645944,10,Marquet
000500,734.8744623525668,1309.64255274269,41.22497515049502,4878.190642774655,1397.6187017497616,50,Marquet
000501,237.9345629086028,325.9475967400261,111.4857945660978,968.5496480678944,259.43495317042147,9,Marquet
000502,313.54533292133175,530.9137577846759,100.68337845950784,1251.8600262212422,457.10322619716504,8,Marquet
000503,127.5575495557855,146.70048396815773,127.5575495557855,184.98635279290215,33.156535008187355,3,Marquet
000504,285.2760363411695,361.5001939723263,232.01231623643363,643.4363869705327,189.65702844804616,4,Marquet
000505,267.0365887726027,361.2891957264651,227.68734183653356,745.5878901604096,217.4816012253982,5,Marquet
000506,305.2858081648261,305.2858081648261,305.2858081648261,305.2858081648261,null,1,Marquet
000508,272.5352980692909,272.5352980692909,263.91727147801527,281.15332466056657,12.187730086274,2,Marquet
000509,320.0138379378168,284.35788827680756,203.01914606241974,330.0406808301861,70.6195980826926,3,Marquet
000526,285.595447579006,285.595447579006,285.595447579006,285.595447579006,null,1,Marquet
000600,430.4991059624017,670.5253820780237,14.586749927383634,2621.389033651515,608.9505192927511,59,Marquet
000601,113.26880076694633,139.53741543702748,89.74461123487566,240.76967892413742,62.43930550907548,6,Marquet
000602,211.99354234210887,252.88834930805845,89.74461123487566,526.1276495202115,140.04728639390183,12,Marquet
000603,499.60349285447796,570.5014038901429,255.93297714686963,1254.2516076387321,328.3371081046918,7,Marquet
000604,266.75541327500633,266.75541327500633,214.82709034714756,318.68373620286513,73.43773855586764,2,Marquet
000700,2776.773613244015,3526.84149028564,7.5448533024046895,12542.035012145985,3535.5637958874536,44,Marquet
000701,344.42378206771104,435.0981683150612,185.9761965612187,912.2559815213181,208.61959931289036,19,Marquet
000702,548.1716520154796,567.5704159978219,56.26508701564648,1293.5095428489687,301.94121378308427,17,Marquet
000703,301.5364751354114,379.28011241642287,263.8715335019957,650.1759658928729,183.23385226515893,4,Marquet
000704,267.6500837823391,267.6500837823391,267.6500837823391,267.6500837823391,null,1,Marquet
000706,263.8715335019957,277.87668996494057,257.3354704845005,312.4230659083255,30.095998040577285,3,Marquet
000707,106.77818441852173,139.4566524765422,50.66188642237975,260.929886588725,108.8763963375572,3,Marquet
000708,281.9861172792105,281.9861172792105,281.9861172792105,281.9861172792105,null,1,Marquet
000709,410.126676923971,410.126676923971,410.126676923971,410.126676923971,null,1,Marquet
