fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
18123,46.01697515,1,4,766,19415,7302,4,2,100.0,9,175,2,2,0,6,35,132,8,6,19558
18125,134.0376882,1,4,767,12768,10398,3,2,100.0,17,286,1,0,0,16,37,240,9,0,12683
18127,105.0691355,1,4,768,166055,164157,9,8,100.0,175,3123,5,18,19,133,561,2380,182,13,166557
18129,39.23722828,1,4,769,25801,6660,3,2,100.0,10,429,0,1,3,6,107,299,23,2,25486
18131,215.2687015,1,4,770,13405,13405,2,2,100.0,28,181,0,1,1,26,42,123,16,4,13007
18133,45.32728969,1,4,771,38036,27688,4,2,100.0,17,225,2,5,0,10,98,111,16,0,37505
18135,23.41280681,1,4,772,26187,21505,5,3,100.0,6,475,0,0,0,6,134,320,21,2,25627
18137,84.45054365,1,4,773,30489,28849,3,3,86.1572,24,434,1,4,1,18,113,308,13,1,28419
18139,82.33356857,1,4,774,17341,17341,3,3,68.2314,14,492,0,5,2,7,125,355,11,0,17004
18141,341.1958352,1,4,775,267535,266903,8,7,100.0,910,9028,21,91,388,410,2626,5877,525,56,266709
18143,279.4927415,1,4,776,24062,24062,4,4,82.2459,67,1055,2,10,8,46,274,756,25,1,23972
18145,44.71372041,1,4,777,44380,44380,3,3,100.0,20,1142,0,2,2,16,138,951,53,2,44729
18147,42.97173415,1,4,778,21027,0,2,1,100.0,9,12,5,5,0,0,2,11,0,0,20944
18149,116.3943613,1,4,779,23272,23272,4,4,100.0,27,195,0,2,0,25,34,151,10,3,23197
18151,43.65795448,1,4,780,34135,34135,3,3,100.0,15,1011,2,4,6,3,174,816,21,4,34358
18153,51.83056118,1,4,781,21423,17186,3,2,100.0,11,333,3,1,0,7,64,252,17,0,21223
18155,28.50085503,1,4,782,10602,0,2,1,100.0,3,6,0,1,0,2,2,4,0,0,10526
18157,302.4853752,1,4,783,175271,174650,7,6,99.9311,545,5033,1,63,87,394,1032,3725,275,16,180174
18159,102.2364217,1,4,784,15831,15837,3,4,100.0,16,276,0,1,0,15,97,173,6,0,15650
18161,0.0,1,4,785,7537,0,2,1,100.0,0,1,0,0,0,0,0,1,0,0,7277
18163,309.2647107,1,4,786,180870,118194,3,2,100.0,561,6098,8,56,199,298,1132,4544,422,76,181398
18165,132.2584708,1,4,787,16282,16282,3,3,100.0,21,167,0,1,1,19,53,107,7,1,15878
18167,229.012568,1,4,788,108521,108521,5,5,100.0,248,5261,6,38,90,114,1350,3560,351,54,108291
18169,12.36170344,1,4,789,32710,6087,4,2,100.0,4,145,0,3,0,1,16,129,0,0,32358
18171,47.53416518,1,4,790,8457,0,2,1,100.0,4,1,0,0,0,4,0,1,0,0,8415
18173,265.360612,1,4,791,60464,60464,3,3,100.0,162,936,0,12,6,144,126,771,39,7,61049
18175,107.9913607,1,4,792,28235,6315,3,2,58.3333,30,53,0,0,1,29,5,47,1,0,27780
18177,296.0540851,1,4,793,68858,66989,5,4,77.12,201,2016,7,51,55,88,613,1259,143,41,67893
18179,25.16718199,1,4,794,27821,27821,3,3,100.0,7,591,0,2,0,5,118,461,12,0,27814
18181,171.6668029,1,4,795,24771,24771,3,3,100.0,42,278,3,1,6,32,36,218,24,2,24466
18183,42.04961855,1,4,796,33497,10565,4,3,100.0,14,201,0,2,1,11,27,163,11,0,33294
19101,89.23259964,1,4,847,16880,16880,2,2,100.0,15,295,1,1,1,12,76,187,32,0,16810
19103,242.8946139,1,4,848,133458,133554,5,6,100.0,338,2904,2,43,48,245,580,2232,92,12,139155
19105,33.96244724,1,4,849,20688,9353,3,2,79.6536,7,130,0,0,0,7,39,85,6,0,20611
19107,48.40739665,1,4,850,10418,10418,1,1,41.6667,5,14,0,0,0,5,7,7,0,2,10329
19109,84.8508583,1,4,851,15456,15456,2,2,100.0,13,114,0,1,0,12,53,57,4,0,15321
19111,504.4560283,1,4,852,35759,35759,4,3,100.0,180,1010,0,9,5,166,254,678,78,15,35682
19113,197.120924,1,4,853,214705,214705,6,6,100.0,426,5855,4,63,101,258,1288,4262,305,43,216111
19115,141.8188264,1,4,854,11413,11413,1,1,100.0,16,93,0,0,0,16,35,55,3,1,11282
19117,331.5801509,1,4,855,8881,8881,2,2,100.0,29,230,0,3,1,25,59,146,25,4,8746
19119,239.0710383,1,4,856,11715,9136,2,1,100.0,28,86,0,3,0,25,22,53,11,0,11712
19121,38.83997929,1,4,857,15840,5242,2,1,100.0,6,135,0,1,0,5,45,85,5,0,15448
19123,196.2796092,1,4,858,22617,22617,2,2,51.2137,44,350,0,4,1,39,121,218,11,4,22417
19125,147.3595573,1,4,859,33464,24415,4,2,92.9005,49,217,0,9,0,40,73,134,10,2,33252
19127,365.9072059,1,4,860,41139,41139,3,3,100.0,150,998,1,1,6,142,319,634,45,11,40994
19129,288.6680988,1,4,861,15050,15050,2,2,100.0,43,366,0,6,5,32,143,185,38,4,14896
19131,37.3517602,1,4,862,10825,9712,3,2,100.0,4,94,0,1,0,3,27,65,2,1,10709
19133,153.4919417,1,4,863,9275,9275,2,2,67.558,14,120,0,3,2,9,24,87,8,1,9121
19135,187.2191712,1,4,864,8087,8087,2,2,100.0,15,135,0,1,0,14,33,97,5,1,8012
19137,115.1189563,1,4,865,10681,5710,2,1,100.0,12,167,0,3,0,9,57,104,6,1,10424
19139,469.2314875,1,4,866,42970,42981,4,5,100.0,201,1028,0,40,7,154,259,728,41,12,42836
19141,71.20478496,1,4,867,14439,14265,2,2,88.3865,10,130,0,0,0,10,55,70,6,1,14044
19143,0.0,1,4,868,6382,6382,1,1,100.0,0,12,0,0,0,0,3,7,2,0,6211
19145,260.9304398,1,4,869,16049,16049,3,3,67.6678,41,362,0,3,2,36,99,242,21,2,15713
19147,174.1970604,1,4,870,9456,9456,2,2,100.0,16,99,0,1,0,15,53,39,7,2,9185
19149,52.0895941,1,4,871,24987,24993,2,3,100.0,13,238,2,3,0,8,52,173,13,4,24957
19151,167.7383282,1,4,872,7208,7208,1,1,100.0,12,74,0,4,0,8,23,50,1,0,7154
19153,312.8341713,1,4,873,462916,439097,11,12,100.0,1413,15173,8,147,280,978,3410,10775,988,79,451677
19155,873.5225606,1,4,874,93881,93881,3,3,100.0,810,5016,1,79,83,647,1166,3283,567,55,92728
19157,225.7943121,1,4,875,18877,18877,2,2,100.0,42,236,0,6,2,34,74,144,18,6,18601
19159,59.14826498,1,4,876,5139,5139,1,1,75.0,3,9,0,0,0,3,3,7,0,0,5072
19161,109.224506,1,4,877,10281,10281,2,2,98.2119,11,66,0,3,2,6,25,32,9,0,10071
19163,443.70103,1,4,878,167759,167447,10,9,100.0,756,4861,4,50,156,546,1059,3489,313,21,170385
19165,8.360504975,1,4,879,12086,7013,2,1,100.0,1,4,0,0,0,1,1,1,2,0,11961
19167,101.3112571,1,4,880,33857,23530,5,4,99.7535,35,169,0,3,1,31,61,103,5,1,34547
19169,142.847867,1,4,881,90011,90011,5,5,100.0,132,2037,0,46,8,78,449,1539,49,11,92406
19171,324.3058716,1,4,882,17764,14889,3,2,100.0,57,117,0,2,0,55,45,63,9,17,17576
19173,16.23113131,1,4,883,6329,6329,1,1,100.0,1,19,0,0,0,1,4,15,0,0,6161
19175,150.9973774,1,4,884,12594,12594,2,2,53.1265,19,150,0,0,0,19,43,100,7,0,12583
19177,201.7213556,1,4,885,7539,7539,1,1,100.0,15,61,0,0,0,15,23,32,6,1,7436
19179,228.8717471,1,4,886,35558,35558,2,2,100.0,81,1106,2,8,17,54,327,723,56,20,35391
19181,278.8575292,1,4,887,46946,46913,4,6,94.6745,132,650,0,21,0,112,226,383,41,19,47336
19183,358.8462412,1,4,888,21940,21940,2,2,100.0,79,173,0,13,1,65,61,103,9,1,22015
