fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
3627,227.6738202,1,4,1862,299607,295092,24,13,100.0,676,5175,5,30,161,480,897,4133,145,41,296916
3629,459.3060294,1,4,1863,922171,922983,31,23,100.0,4225,27229,50,211,1602,2361,6019,19729,1481,341,919866
3631,121.2527733,1,4,1864,37885,39392,8,6,100.0,47,515,1,7,4,35,138,363,14,6,38762
3633,98.6689367,1,4,1865,53336,51829,8,5,100.0,51,936,1,14,5,31,201,710,25,2,51688
3635,97.09449309,1,4,1866,55347,55478,7,6,100.0,53,1512,0,5,12,36,302,1166,44,2,54586
3637,154.7414808,1,4,1867,60189,60317,10,5,100.0,92,1357,0,12,8,72,266,1059,32,16,59454
3639,202.2495099,1,4,1868,49218,49218,14,9,69.1581,98,672,0,7,6,85,213,437,21,1,48455
3641,20.95118374,1,4,1869,4819,4819,6,3,99.4259,1,79,0,0,0,1,31,44,4,0,4773
3643,194.7616896,1,4,1870,64637,59969,16,8,100.0,125,1181,2,10,3,110,268,883,30,6,64181
3645,181.58388,1,4,1871,118546,115418,18,12,98.5589,217,2721,1,14,25,176,464,2101,155,19,119504
3647,630.2492642,1,4,1872,2551084,2551084,8,1,100.0,16337,44232,129,358,6235,9616,5742,35966,2524,0,2592149
3649,69.98416148,1,4,1873,27218,27218,6,3,100.0,19,397,0,0,2,17,124,263,10,7,27149
3651,85.00115911,1,4,1874,65421,65421,13,9,97.946,55,1137,0,14,1,40,169,953,15,2,64705
3653,81.51197812,1,4,1875,73761,73761,14,8,99.5188,59,1275,0,11,5,43,271,974,30,2,72382
3655,356.854134,1,4,1876,749650,749650,19,13,100.0,2675,22718,41,175,1011,1447,4968,16774,976,233,749606
3657,114.2353248,1,4,1877,50185,50185,12,6,98.9728,57,1130,4,9,12,32,227,880,23,1,49897
3659,182.0069726,1,4,1878,1351693,1351693,29,23,99.5809,2461,16959,28,72,1091,1270,2754,13200,1004,90,1352146
3661,634.0093435,1,4,1879,1609907,1609907,10,2,100.0,10310,27945,81,227,3932,6070,3623,22730,1592,0,1626159
3663,381.7987482,1,4,1880,217177,217177,16,9,99.8511,818,6090,4,47,207,560,1437,4425,228,61,214249
3665,257.7220284,1,4,1881,235552,235552,22,16,98.5208,602,5792,2,43,165,392,1212,4387,192,37,233585
3667,374.9036587,1,4,1882,469480,469480,26,19,96.6364,1756,12133,15,111,539,1091,2988,8553,592,63,468387
3669,137.4847621,1,4,1883,109111,109111,14,8,98.4433,150,2031,2,36,22,90,434,1556,41,0,109103
3671,288.8772924,1,4,1884,376895,376895,41,33,96.8446,1085,8471,9,68,377,632,1361,6868,242,35,375592
3673,149.1653842,1,4,1885,42852,42852,11,5,99.6476,63,857,0,5,9,49,192,641,25,4,42235
3675,162.5882062,1,4,1886,122888,120491,13,7,100.0,197,3038,0,32,26,139,774,2163,101,18,121165
3677,132.9377624,1,4,1887,62251,62251,8,5,98.1368,82,936,0,15,14,54,195,716,25,14,61683
3679,41.14606854,1,4,1888,100472,98444,13,5,100.0,41,824,0,7,8,26,187,604,33,0,99645
3681,630.3962024,1,4,1889,2260875,2260875,8,1,100.0,14475,39137,114,317,5522,8522,5088,31814,2235,0,2296175
3683,278.8929326,1,4,1890,160255,156736,17,9,99.9394,446,4131,9,29,130,278,964,3032,135,9,159918
3685,634.123325,1,4,1891,468058,468058,6,1,100.0,2997,8102,24,66,1143,1764,1053,6586,463,0,472621
3687,155.1870815,1,4,1892,316859,316859,20,11,100.0,498,3813,2,28,144,324,540,3145,127,18,320903
3689,110.7508731,1,4,1893,112293,110631,15,10,97.3161,124,2277,0,14,11,99,486,1751,40,13,111963
3691,68.34476135,1,4,1894,222074,222074,13,8,100.0,153,3076,2,18,20,113,542,2479,55,13,223865
3693,450.0009657,1,4,1895,155895,155895,14,7,100.0,699,4876,7,37,227,428,1059,3626,191,71,155333
3695,59.66587112,1,4,1896,32754,32754,8,5,100.0,19,478,0,6,1,12,133,333,12,0,31844
3697,113.75948,1,4,1897,18460,18460,7,3,100.0,21,160,1,4,1,15,40,111,9,0,18460
3699,163.8001638,1,4,1898,35388,28684,11,5,99.3132,58,792,0,5,3,50,119,662,11,2,35409
3711,135.4937052,1,4,1917,17695,17746,7,7,99.868,24,252,0,0,1,23,61,184,7,5,17713
3713,351.8456093,1,4,1918,48164,47639,10,6,99.8553,167,1544,1,7,36,123,504,1007,33,12,47464
3715,152.3790798,1,4,1919,21081,21081,5,3,97.1436,31,360,0,2,8,21,120,229,11,3,20344
3717,361.6221336,1,4,1920,35274,35274,8,6,89.437,126,1456,2,2,20,102,454,961,41,13,34843
3719,146.5728831,1,4,1921,111188,108869,15,11,99.2767,169,3375,1,24,25,119,1341,1906,128,19,115301
3721,238.7944109,1,4,1922,243811,243076,13,8,100.0,592,7435,10,54,181,347,1661,5237,537,22,247912
3723,179.2034906,1,4,1923,90980,90272,8,7,100.0,161,2356,3,7,40,111,943,1318,95,5,89842
3725,111.0956812,1,4,1924,192540,183044,5,3,100.0,208,4420,6,20,81,101,1035,3163,222,31,187226
3727,159.7755824,1,4,1925,83145,83211,6,6,100.0,131,2893,2,9,32,88,830,1931,132,24,81990
3729,117.7971925,1,4,1926,10068,10113,4,3,99.8517,12,115,0,1,2,9,40,72,3,0,10187
3731,293.7136511,1,4,1927,68041,68041,13,11,98.441,201,2050,4,30,20,147,618,1354,78,7,68434
3733,267.3566192,1,4,1928,23635,23635,3,1,100.0,62,519,2,8,4,48,214,288,17,7,23190
3735,311.349396,1,4,1929,156554,155324,11,8,100.0,482,5904,13,34,119,316,1555,4057,292,36,154810
3737,155.6490115,1,4,1930,63380,64831,5,4,100.0,104,1284,1,10,18,75,504,739,41,8,66817
3739,194.7240797,1,4,1931,27463,27463,5,3,98.9167,53,803,3,4,3,43,298,469,36,7,27218
