fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
-1,,,,,,,,,,,,,,,,,,,,
11,251.6019259,1,4,1,57161,54604,3,3,100.0,139,1765,3,15,34,87,447,1233,85,108,55246
13,228.086325,1,4,2,187467,187467,14,14,100.0,446,4988,8,30,76,332,967,3829,192,31,195540
15,177.2787709,1,4,3,27228,25566,6,4,97.0113,48,474,0,4,8,36,90,362,21,0,27076
17,217.6616915,1,4,4,22907,22857,5,6,94.4853,49,399,1,4,8,36,122,251,27,0,22512
19,210.8100636,1,4,5,57909,57909,6,6,98.6338,122,1347,1,11,9,101,397,865,86,9,57872
41,95.92126116,1,4,97,73191,69630,4,3,100.0,69,408,1,2,3,63,159,237,12,41,71934
43,590.856781,1,4,98,134744,133333,8,7,99.7631,765,3572,4,40,52,669,713,2662,197,32,129473
45,334.7029054,1,4,99,133104,135979,6,7,99.4376,457,4271,4,47,56,350,555,3598,117,52,136539
47,245.0379809,1,4,100,53724,45150,5,3,100.0,130,894,1,4,11,114,252,587,55,19,53053
49,613.6278747,1,4,101,37552,27918,4,3,100.0,230,391,1,0,0,229,119,251,21,7,37482
51,591.1487458,1,4,113,18964,18964,3,3,100.0,111,802,0,4,24,83,339,429,34,7,18777
53,244.3264577,1,4,114,21774,21774,3,3,100.0,52,540,3,3,8,38,198,320,22,9,21283
55,119.6376688,1,4,115,41694,41694,5,5,99.2205,49,1229,3,13,3,30,215,969,45,1,40957
57,267.1757334,1,4,116,222170,228420,15,15,100.0,634,4851,3,112,29,490,1214,3461,176,22,237297
59,355.653011,1,4,117,37192,37192,2,2,100.0,133,1100,1,21,3,108,292,737,71,9,37396
61,753.6935735,1,4,188,1544062,1544062,26,22,100.0,11900,62130,153,477,6220,5050,13245,35841,13044,337,1578891
63,690.2502157,1,4,189,1112,1112,2,2,100.0,8,43,0,3,0,5,18,20,5,0,1159
65,355.9790794,1,4,190,38305,38305,6,6,100.0,130,797,0,5,14,111,241,512,44,2,36519
