fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
29123,104.5772665,1,4,1559,12218,12218,2,2,100.0,13,222,0,1,1,11,30,180,12,1,12431
29125,243.9565314,1,4,1560,9394,9394,3,4,100.0,22,128,0,2,1,19,44,78,6,1,9018
29127,245.6407418,1,4,1561,28581,28267,3,3,100.0,71,1366,1,5,10,55,200,1113,53,1,28904
29129,27.06359946,1,4,1562,3811,3811,1,1,100.0,1,20,0,0,0,1,7,12,1,0,3695
29131,163.3986928,1,4,1563,24658,24943,4,6,100.0,41,620,0,4,1,36,190,414,16,3,25092
29133,693.1802269,1,4,1564,14333,14333,4,4,97.143,99,427,2,4,6,87,128,286,13,8,14282
29135,152.4003048,1,4,1565,15727,15727,3,3,100.0,24,209,0,3,6,15,63,134,12,1,15748
29137,102.5757921,1,4,1566,9285,9285,2,4,100.0,9,90,0,2,0,7,24,59,7,1,8774
29139,150.4387798,1,4,1567,12293,12293,7,7,99.6014,18,188,0,2,1,15,51,129,8,0,11965
29141,532.938564,1,4,1568,20564,20541,4,4,97.9878,108,428,3,0,1,104,154,248,25,0,20265
29143,217.8056085,1,4,1569,17087,15902,13,12,99.4068,40,168,2,1,3,34,27,130,11,5,18365
29145,253.2075792,1,4,1570,52286,58524,6,7,100.0,149,2003,3,27,15,104,455,1404,144,22,58845
29147,120.3731568,1,4,1571,23512,23512,3,3,100.0,28,383,1,3,4,20,67,301,15,0,23261
29149,363.7686431,1,4,1572,11038,11038,3,3,100.0,40,111,1,0,1,38,38,70,3,3,10996
29151,65.75102279,1,4,1573,13735,13735,2,2,100.0,9,140,0,1,0,8,59,61,20,0,13688
29153,313.8075314,1,4,1574,9613,9613,1,1,100.0,30,139,1,2,2,25,82,55,2,1,9560
29155,998.7095326,1,4,1575,18208,18208,7,7,100.0,178,678,0,6,21,151,192,463,23,2,17823
29157,146.8120805,1,4,1576,19077,19077,2,2,100.0,28,269,0,1,2,25,64,195,10,3,19072
29159,281.9571141,1,4,1577,42257,42257,3,3,100.0,119,1972,0,6,16,97,497,1389,86,9,42205
29161,265.5835026,1,4,1578,45105,45105,7,7,100.0,119,1404,1,13,11,94,223,1129,52,7,44807
29163,80.34709947,1,4,1579,18607,18282,4,3,100.0,15,310,0,1,0,14,77,218,15,1,18669
29165,100.7394706,1,4,1580,46518,46518,15,15,98.8048,94,871,2,6,5,80,143,682,46,20,93310
29167,413.2498224,1,4,1581,31229,31229,5,5,100.0,128,766,1,8,2,117,215,525,26,2,30974
29169,396.2938156,1,4,1582,53524,53524,6,8,100.0,213,1139,3,16,18,176,349,744,46,6,53748
29171,0.0,1,4,1583,4987,4987,2,2,100.0,0,35,0,0,0,0,8,25,2,0,4875
29173,78.49293564,1,4,1584,9955,10269,4,5,100.0,8,207,0,0,0,8,47,151,9,0,10192
29175,168.40417,1,4,1585,25394,25394,3,3,100.0,42,705,0,3,8,31,122,558,25,8,24940
29177,247.4065715,1,4,1586,23263,23118,8,8,99.9084,57,607,2,9,0,46,157,418,33,6,23039
29179,363.6914684,1,4,1587,6600,6600,2,2,100.0,24,80,3,0,0,21,33,41,6,7,6599
29181,320.695553,1,4,1588,14170,14170,3,3,100.0,45,473,0,1,1,43,95,361,17,2,14032
29183,138.1544599,1,4,1589,366098,366098,12,13,100.0,516,6770,4,36,65,410,825,5761,184,42,373495
29185,263.518499,1,4,1590,9659,9659,4,4,100.0,25,236,0,0,1,24,83,142,11,0,9487
29186,343.120711,1,4,1591,18158,18158,3,3,100.0,61,231,1,3,1,56,38,180,13,1,17778
29187,268.8212641,1,4,1592,65700,65700,11,11,96.6484,178,1935,1,13,8,155,306,1510,118,4,66215
29189,303.3619454,1,4,1593,999473,999473,74,73,99.6644,3038,26774,38,154,732,2114,5444,19368,1961,123,1001444
29195,141.9232754,1,4,1594,23444,23444,6,8,100.0,33,469,1,3,3,26,111,337,21,2,23252
29197,68.83891693,1,4,1595,4389,4389,2,2,100.0,3,26,0,0,0,3,6,19,1,1,4358
29199,60.96321886,1,4,1596,4837,4837,2,2,100.0,3,83,0,0,0,3,24,57,2,0,4921
29201,1163.145839,1,4,1597,40941,40941,7,8,100.0,457,1277,2,7,26,422,236,1002,39,8,39290
29203,385.6815717,1,4,1598,8376,8448,4,5,100.0,32,131,0,2,0,30,28,91,12,0,8297
29205,161.8908855,1,4,1599,6292,6292,2,2,100.0,10,39,0,4,0,6,12,23,4,0,6177
29207,198.1195433,1,4,1600,29863,29863,7,7,99.6074,59,659,1,3,5,50,174,443,42,7,29780
29209,421.7656644,1,4,1601,32324,32324,7,7,100.0,132,593,1,5,1,125,160,396,37,5,31297
29211,124.0694789,1,4,1602,6672,6672,2,2,100.0,8,82,0,1,0,7,29,45,8,0,6448
29213,520.7652823,1,4,1603,52835,52835,6,6,100.0,279,2017,0,10,26,243,351,1564,102,3,53575
29215,97.51911375,1,4,1604,25869,25797,5,5,100.0,25,586,1,3,0,21,156,403,27,2,25636
29217,410.5207886,1,4,1605,21002,21002,2,2,100.0,86,1184,0,4,9,73,242,870,72,5,20949
29219,284.8571169,1,4,1606,32315,32315,5,5,100.0,94,818,0,5,4,85,170,619,29,5,32999
29221,174.7973939,1,4,1607,25123,25123,2,2,100.0,44,582,1,2,2,39,142,396,44,6,25172
29223,104.4464339,1,4,1608,13500,13500,4,4,98.9556,14,135,0,1,0,13,51,75,9,1,13404
29225,178.2482312,1,4,1609,36793,36508,6,6,100.0,65,745,4,1,3,57,227,467,51,12,36466
29227,95.6937799,1,4,1610,2154,2154,1,1,100.0,2,40,0,1,0,1,15,22,3,0,2090
29229,265.2519894,1,4,1611,18939,18939,5,6,95.7997,49,392,1,2,1,45,102,275,15,4,18473
29510,1791.995377,1,4,1612,318667,318667,15,15,100.0,5706,22329,119,200,1778,3609,4995,13791,3543,464,318416
30101,0.0,1,4,1663,5275,5275,1,1,100.0,0,99,0,0,0,0,14,75,10,1,5138
30103,0.0,1,4,1664,732,0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,700
30105,157.2739187,1,4,1665,7539,7539,2,2,100.0,12,66,0,4,0,8,9,47,10,0,7630
30107,187.4414246,1,4,1666,2155,2155,1,1,100.0,4,4,0,0,0,4,1,2,1,1,2134
30109,0.0,1,4,1667,992,992,1,1,100.0,0,3,0,0,0,0,2,1,0,0,1121
30111,288.0087181,1,4,1668,151113,151113,3,3,100.0,444,5639,3,40,73,328,975,4176,488,25,154162
31101,86.10086101,1,4,1721,8359,8359,3,3,100.0,7,139,0,2,3,2,15,118,6,0,8130
31103,0.0,1,4,1722,819,819,2,2,100.0,0,0,0,0,0,0,0,0,0,0,790
31105,81.03727715,1,4,1723,3801,1317,3,2,100.0,3,26,0,0,0,3,1,24,1,0,3702
31107,11.67542323,1,4,1724,8635,8635,2,2,100.0,1,31,0,0,0,1,6,24,1,0,8565
31109,364.6022704,1,4,1725,291826,291826,4,4,100.0,1083,10796,4,192,201,686,1755,8718,323,32,297036
31111,188.6216749,1,4,1726,36395,36395,3,3,100.0,68,1254,0,22,8,38,151,1055,48,9,36051
31113,0.0,1,4,1727,767,0,2,1,100.0,0,0,0,0,0,0,0,0,0,0,763
31115,0.0,1,4,1728,614,0,2,1,100.0,0,0,0,0,0,0,0,0,0,0,576
31117,0.0,1,4,1729,556,0,2,1,100.0,0,0,0,0,0,0,0,0,0,0,526
31119,85.0388344,1,4,1730,35175,35175,4,4,100.0,30,897,0,18,0,12,131,725,41,3,35278
31121,0.0,1,4,1731,7786,2912,3,2,100.0,0,60,0,0,0,0,5,52,3,0,7802
31123,40.74979625,1,4,1732,5033,5033,4,4,74.6871,2,56,0,0,0,2,6,47,3,0,4908
31125,82.80430582,1,4,1733,3766,3766,2,2,100.0,3,26,0,1,0,2,10,13,3,0,3623
31127,111.7786782,1,4,1734,7331,7331,3,3,100.0,8,37,0,6,0,2,10,23,4,0,7157
31129,67.98096533,1,4,1735,4509,4509,3,3,71.7454,3,21,0,0,0,3,6,15,0,0,4413
31131,38.09040122,1,4,1736,15908,15908,3,3,100.0,6,263,0,2,1,3,42,206,15,2,15752
31133,0.0,1,4,1737,2754,2754,2,2,100.0,0,24,0,0,0,0,3,19,2,0,2709
31135,68.46970216,1,4,1738,2976,2976,2,2,100.0,2,11,0,2,0,0,4,7,0,0,2921
31137,108.5422772,1,4,1739,9248,9248,3,3,100.0,10,162,0,5,0,5,16,140,6,0,9213
31139,27.97202797,1,4,1740,7266,5499,4,3,100.0,2,34,0,0,0,2,6,28,0,1,7150
31141,70.75834487,1,4,1741,32821,32821,3,3,100.0,23,632,0,7,2,14,87,517,28,2,32505
31143,0.0,1,4,1742,5359,5359,2,2,100.0,0,40,0,0,0,0,11,28,1,2,5275
31145,99.94548428,1,4,1743,11109,11109,3,3,100.0,11,274,0,4,1,6,50,211,13,4,11006
31147,49.23076923,1,4,1744,8403,4346,3,2,100.0,4,46,0,0,0,4,9,36,1,0,8125
31149,141.7434444,1,4,1745,1504,1504,2,2,100.0,2,7,0,0,0,2,2,5,0,0,1411
31151,104.0510544,1,4,1746,14445,14445,4,4,100.0,15,284,0,3,2,10,89,182,13,3,14416
