fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
1789,162.8972411,1,4,647,585927,520513,25,26,100.0,853,7949,6,138,189,520,1601,6110,238,77,523643
1791,308.5979308,1,4,648,113355,103720,11,9,100.0,346,2947,8,49,82,207,658,2195,94,46,112120
1793,123.1692194,1,4,649,111575,116685,5,9,100.0,147,1699,2,38,14,93,297,1372,30,11,119348
1795,301.4708706,1,4,650,52933,50851,7,4,98.9119,157,1395,2,20,14,121,340,1032,22,4,52078
1797,151.0627736,1,4,651,714335,703353,38,41,99.9099,1062,12636,6,165,266,625,2474,9857,305,57,703019
1799,103.4024763,1,4,652,113421,110621,15,12,100.0,116,2114,0,14,14,88,424,1652,38,18,112183
1811,34.72394464,1,4,710,57661,57661,5,5,97.6772,21,771,0,5,5,10,131,635,5,1,60477
1813,13.31292019,1,4,711,15146,15146,2,2,100.0,2,86,1,1,0,0,38,43,5,1,15023
1815,64.7216967,1,4,712,20094,20094,3,3,57.1812,13,328,0,3,1,9,95,206,27,0,20086
1817,51.99802408,1,4,713,38950,38950,3,3,100.0,20,1266,0,7,5,8,224,986,56,2,38463
1819,593.2458517,1,4,714,111919,111919,6,6,97.744,670,4605,3,16,73,579,954,3388,263,4,112938
1821,74.61851285,1,4,715,26978,8098,3,2,100.0,20,262,0,1,1,18,45,199,18,0,26803
1823,258.2330781,1,4,716,33208,33208,3,3,100.0,85,1070,0,12,17,56,190,822,58,2,32916
1825,47.07654646,1,4,717,10691,10691,2,2,100.0,5,123,0,0,0,5,107,11,5,0,10621
1827,160.4591601,1,4,718,32078,32078,3,3,100.0,52,723,0,2,2,48,215,469,39,1,32407
1829,54.10387945,1,4,719,50270,50270,5,5,92.0093,27,574,2,2,6,17,64,502,8,0,49904
1831,125.5851125,1,4,720,26025,11617,3,2,100.0,33,125,0,0,1,32,8,114,3,3,26277
1833,68.54657622,1,4,721,42595,21447,5,4,100.0,29,639,1,7,3,18,97,514,28,1,42307
1835,262.1633584,1,4,722,118028,118029,4,5,100.0,308,3777,1,11,104,192,914,2631,232,41,117484
1837,61.37721017,1,4,723,42331,21313,4,3,100.0,26,266,0,2,0,24,42,210,14,0,42361
1839,405.8575111,1,4,724,200052,199564,5,5,100.0,814,5210,8,61,149,596,1247,3629,334,34,200563
1841,4.190939189,1,4,725,24361,0,3,1,100.0,1,8,0,0,0,1,1,7,0,0,23861
1843,188.8673207,1,4,726,75224,72322,5,4,100.0,144,2835,4,24,39,77,504,2119,212,5,76244
1845,23.69668246,1,4,727,17267,3250,4,2,100.0,4,46,1,0,0,3,12,33,1,1,16880
1847,34.85686898,1,4,728,21473,23113,2,3,100.0,8,223,0,1,1,6,100,115,8,0,22951
1849,73.35322021,1,4,729,20937,14689,3,2,100.0,15,123,0,1,3,11,41,69,13,0,20449
1851,145.7812686,1,4,730,33610,33610,4,4,91.4024,49,495,0,5,2,43,84,390,22,5,33612
1853,149.0032694,1,4,731,70012,70012,5,5,100.0,103,1824,3,14,51,35,392,1336,96,10,69126
1855,51.85930875,1,4,732,32998,30788,4,3,100.0,17,397,2,5,0,10,45,334,18,0,32781
1857,33.70487339,1,4,733,283696,245945,6,5,98.1811,100,2986,0,13,31,56,422,2420,144,10,296693
1859,65.66538596,1,4,734,73378,70750,4,4,100.0,47,767,1,6,16,24,190,536,41,2,71575
1861,74.04948548,1,4,735,39459,39459,3,3,100.0,29,490,0,4,5,20,108,342,40,1,39163
1863,98.12904945,1,4,736,148442,71787,6,5,100.0,151,1766,0,10,20,121,222,1467,77,4,153879
1865,42.81869342,1,4,737,49418,49418,3,3,100.0,21,1887,2,8,7,4,469,1344,74,1,49044
1867,267.037216,1,4,738,83059,83059,4,4,100.0,221,2363,4,19,63,135,682,1574,107,1,82760
1869,127.7486342,1,4,739,37328,37328,3,3,100.0,47,603,0,15,7,25,98,483,22,16,36791
1871,243.868771,1,4,740,43101,43101,4,4,100.0,106,1899,1,9,7,88,296,1505,98,3,43466
1873,44.92497529,1,4,741,33521,5913,3,2,83.3333,15,279,1,2,0,12,47,228,4,0,33389
1875,150.0234412,1,4,742,21519,19147,4,3,100.0,32,372,0,0,4,28,52,300,19,0,21330
1877,9.242713661,1,4,743,32350,0,3,1,100.0,3,19,0,0,0,3,1,18,0,0,32458
1879,385.9636698,1,4,744,28284,28284,3,3,55.4312,109,745,0,8,0,102,310,420,15,0,28241
1881,231.5594187,1,4,745,142578,136686,8,6,100.0,337,3668,1,4,45,287,502,3068,98,7,145535
1883,52.69536808,1,4,746,38621,35690,4,3,78.3938,20,954,0,5,7,9,217,676,62,1,37954
1885,174.4417224,1,4,747,77090,77578,4,5,74.8339,136,1211,2,10,6,119,179,983,50,7,77963
1887,68.42825561,1,4,748,37499,37499,2,2,100.0,26,277,1,2,6,17,78,184,15,1,37996
1889,414.6861571,1,4,749,497110,495070,20,19,96.7551,2038,18298,62,122,685,1169,4241,12146,1911,154,491456
1891,164.4485582,1,4,750,111723,108229,9,7,81.3395,183,3645,3,22,72,86,827,2672,146,23,111281
1893,237.7628479,1,4,751,46340,41969,4,3,100.0,109,956,2,9,5,94,235,678,43,6,45844
1895,261.3387287,1,4,752,131653,131646,6,6,100.0,341,4069,3,60,88,190,965,2842,262,41,130482
1897,1083.508119,1,4,753,911521,867596,11,9,100.0,10058,49004,102,453,3486,6017,15125,29122,4757,414,928281
1899,114.6277781,1,4,754,47197,47197,5,5,87.5626,54,830,1,7,6,40,128,669,34,7,47109
1911,50.5856259,1,4,802,26193,23646,3,2,100.0,13,275,0,4,0,9,156,108,11,2,25699
1913,430.0393826,1,4,803,132059,132059,5,5,100.0,570,3619,5,93,75,397,1061,2418,140,28,132546
1915,295.8579882,1,4,804,26357,26357,3,3,100.0,78,362,1,12,2,63,122,234,6,3,26364
1917,194.9317739,1,4,805,24375,24375,2,2,100.0,48,197,2,3,1,42,51,142,4,0,24624
1919,38.13882532,1,4,806,21004,15024,2,1,83.3333,8,131,0,0,1,7,17,106,8,1,20976
1921,296.5916274,1,4,807,20485,20485,2,2,96.0255,61,320,0,3,0,58,90,217,13,5,20567
1923,0.0,1,4,808,14997,14997,1,1,100.0,0,16,0,0,0,0,9,4,3,0,15021
1925,30.22365505,1,4,809,9663,9663,1,1,100.0,3,18,0,0,0,3,6,11,1,0,9926
1927,38.83872221,1,4,810,20942,10165,2,1,100.0,8,130,0,1,1,6,24,99,7,0,20598
1929,176.4965436,1,4,811,13871,13871,2,2,100.0,24,208,0,1,0,23,83,115,10,3,13598
1931,108.7370195,1,4,812,18562,18471,3,4,100.0,20,170,0,2,0,18,5,156,9,2,18393
1933,114.7446931,1,4,813,44108,44108,3,3,100.0,50,1698,2,8,3,37,433,1200,65,6,43575
1935,184.1774801,1,4,814,12116,12116,2,2,100.0,22,107,0,2,0,20,28,74,5,1,11945
1937,64.92979466,1,4,815,12497,12497,2,2,100.0,8,76,1,1,0,6,28,45,3,0,12321
1939,107.2386059,1,4,816,9392,9392,2,2,100.0,10,147,0,1,0,9,34,105,8,1,9325
1941,36.3834819,1,4,817,16654,16654,2,2,100.0,6,274,1,1,0,4,106,156,12,0,16491
1943,78.77116975,1,4,818,18084,18084,1,1,100.0,14,58,0,1,0,13,18,37,3,2,17773
1945,460.5534903,1,4,819,49203,49205,4,5,100.0,223,1446,0,17,21,185,356,1025,65,11,48420
1947,40.15142824,1,4,820,17344,17344,2,2,100.0,7,50,0,0,0,7,10,37,3,0,17434
1949,144.6925952,1,4,821,45861,69713,4,7,100.0,108,1077,1,7,3,97,193,841,43,6,74641
1951,68.25162098,1,4,822,8821,8821,2,2,100.0,6,19,0,0,0,6,8,10,1,0,8791
1953,12.29105211,1,4,823,8316,1942,2,1,100.0,1,2,0,0,0,1,0,2,0,0,8136
1955,159.6897456,1,4,824,17547,17726,2,3,100.0,28,107,2,2,1,23,26,76,5,1,17534
1957,506.4229249,1,4,825,40325,40325,3,3,100.0,205,1461,3,5,20,177,339,1060,62,14,40480
1959,41.28575641,1,4,826,16965,16965,2,2,100.0,7,154,0,0,0,7,29,122,3,0,16955
1961,161.9695497,1,4,827,95194,95015,3,3,100.0,155,2104,2,23,23,107,748,1282,74,34,95697
1963,170.0680272,1,4,828,10143,10143,2,2,100.0,17,136,0,2,1,14,49,84,3,0,9996
1965,175.5926251,1,4,829,21054,21054,3,3,76.9557,36,212,0,2,0,34,65,131,16,13,20502
1967,186.4280388,1,4,830,16132,16132,2,2,100.0,30,181,0,4,1,25,39,134,8,2,16092
1969,113.7656428,1,4,831,10772,10772,2,2,41.7657,12,67,0,2,0,11,26,36,5,1,10548
1971,0.0,1,4,832,7396,0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,7080
1973,21.88423241,1,4,833,9321,9321,2,2,100.0,2,27,0,0,0,2,4,21,2,0,9139
1975,64.96670456,1,4,834,12507,12507,2,2,100.0,8,73,0,0,0,8,13,57,3,1,12314
1977,74.85730327,1,4,835,10943,10943,1,1,100.0,8,52,0,2,0,6,17,29,6,0,10687
1979,333.0721003,1,4,836,15598,15598,2,2,95.9573,51,265,0,0,3,48,70,175,20,2,15312
1981,54.08328826,1,4,837,10992,8205,2,2,100.0,6,32,0,0,0,6,17,15,0,0,11094
1983,137.6067886,1,4,838,17494,17494,3,3,100.0,24,322,0,2,1,21,68,247,7,2,17441
